Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR11050679_1	91.34474604882006	44.0	151.0	151	30.0	26344808.0
SRR11050679_2	90.45515079630958	44.0	151.0	151	20.0	26344808.0
SRR11816476_1	91.95863546970878	44.0	151.0	151	20.0	10048360.0
SRR11816476_2	91.86416902212218	44.0	151.0	151	20.0	10048360.0
SRR11816478_1	92.68430362138906	44.0	151.0	151	20.0	10613912.0
SRR11816478_2	92.5656116946225	44.0	151.0	151	20.0	10613912.0
SRR11816479_1	88.86886381799286	44.0	151.0	151	20.0	9152600.0
SRR11816479_2	88.80888947407836	44.0	151.0	151	20.0	9152600.0
SRR12963743_1	90.96671933255044	52.0	151.0	151	50.0	10774328.0
SRR12963743_2	90.8473534662461	52.0	151.0	151	40.0	10774328.0
SRR12963744_1	91.17993430259243	53.0	151.0	151	40.0	18268344.0
SRR12963744_2	90.88339997329481	53.0	151.0	151	40.0	18268344.0
SRR12963745_1	90.26156320492541	51.0	151.0	151	30.0	15272648.0
SRR12963745_2	90.12958547393714	51.0	151.0	151	30.0	15272648.0
SRR12963788_1	69.02961508141661	48.0	101.0	101	27.27272727272727	11902797.0
SRR12963788_2	69.00175646262585	48.0	101.0	101	18.181818181818183	11902797.0
SRR12963789_1	64.21764899656924	47.0	101.0	101	18.181818181818183	9481008.0
SRR12963789_2	63.272748887542875	48.0	101.0	101	18.181818181818183	9481008.0
SRR12963790_1	70.73913149109345	52.0	76.0	76	27.27272727272727	6531985.0
SRR12963790_2	60.58721356940598	55.0	76.0	76	36.36363636363637	6531985.0
SRR13326549_1	92.91030525520969	47.0	150.0	150	20.0	31268384.0
SRR13326549_2	92.17683667004411	47.0	150.0	150	20.0	31268384.0
SRR13326553_1	98.21755108380889	39.0	150.0	150	30.0	24868176.0
SRR13326553_2	97.40919138455294	39.0	150.0	150	30.0	24868176.0
SRR14483578_1	92.34679255245594	49.0	150.0	150	30.0	6130864.0
SRR14483578_2	91.84843393814072	50.0	150.0	150	30.0	6130864.0
SRR14483579_1	91.75666578689157	49.0	150.0	150	30.0	3911416.0
SRR14483579_2	91.36324076239171	50.0	150.0	150	30.0	3911416.0
SRR14483580_1	90.49690619216194	47.0	150.0	150	30.0	5364584.0
SRR14483580_2	90.25887815024718	48.0	150.0	150	30.0	5364584.0
SRR14517640_1	91.88006437099381	48.0	151.0	151	30.0	32166640.0
SRR14517640_2	90.93848687073708	48.0	151.0	151	20.0	32166640.0
SRR14839288_1	91.88006437099381	48.0	151.0	151	30.0	32166640.0
SRR14839288_2	90.93848687073708	48.0	151.0	151	20.0	32166640.0
SRR21096539_1	93.98269018602628	44.0	150.0	150	30.0	13833864.0
SRR21096539_2	93.81754283685389	44.0	150.0	150	30.0	13833864.0
SRR21096542_1	89.62467256302673	45.0	150.0	150	30.0	14866352.0
SRR21096542_2	89.53689215950742	45.0	150.0	150	30.0	14866352.0
SRR21096545_1	93.7473560145892	44.0	150.0	150	30.0	9271336.0
SRR21096545_2	93.52748610718673	44.0	150.0	150	30.0	9271336.0
SRR21096550_1	89.27691495191492	45.0	150.0	150	30.0	9027784.0
SRR21096550_2	89.15791058558918	45.0	150.0	150	30.0	9027784.0
SRR21159093_1	94.50602181271263	47.0	146.4058607833458	150	20.0	20824520.0
SRR21159093_2	93.93590627836718	46.0	146.39340853954857	150	10.0	20824520.0
SRR21159094_1	92.21646834697451	47.0	146.71981543774046	150	20.0	20507768.0
SRR21159094_2	91.44964621835636	47.0	146.6971243286934	150	10.0	20507768.0
SRR21159097_1	94.63493840364806	46.0	146.4562520693688	150	20.0	20344368.0
SRR21159097_2	94.03468392418014	46.0	146.4408917495004	150	10.0	20344368.0
SRR21159098_1	92.4820503454491	48.0	145.79709376390957	150	20.0	20848960.0
SRR21159098_2	90.5615765458281	48.0	145.78158181511213	150	10.0	20848960.0
SRR22311013_1	94.86449657763265	45.0	146.18759846548429	150	40.0	27557880.0
SRR22311013_2	94.96138605341088	46.0	147.36128265309233	150	20.0	27557880.0
SRR22311015_1	91.39936998792396	46.0	141.5795681744793	150	40.0	47567360.0
SRR22311015_2	91.55522361224486	48.0	143.88698620230343	150	20.0	47567360.0
SRR22311018_1	94.5566148644315	44.0	145.4163730339549	150	40.0	32455512.0
SRR22311018_2	94.62773218487243	46.0	146.8167110720669	150	20.0	32455512.0
SRR22311020_1	91.2977013038315	46.0	142.04696832985235	150	30.0	60086616.0
SRR22311020_2	91.41006979816235	48.0	143.47997577363984	150	20.0	60086616.0
SRR26583189_1	92.06465807817554	46.0	101.0	101	18.181818181818183	212980520.0
SRR26583189_2	91.07330545409513	47.0	101.0	101	9.090909090909092	212980520.0
SRR26583191_1	94.28300337102898	46.0	101.0	101	18.181818181818183	218052720.0
SRR26583191_2	93.78274903836703	47.0	101.0	101	9.090909090909092	218052720.0
SRR27194003_1	92.55333150442179	45.0	101.0	101	18.181818181818183	11836800.0
SRR27194003_2	92.15483476109785	45.0	101.0	101	9.090909090909092	11836800.0
SRR27194004_1	92.90917113889216	46.0	101.0	101	18.181818181818183	11445560.0
SRR27194004_2	92.58032641384521	46.0	101.0	101	9.090909090909092	11445560.0
SRR29317039_1	92.08421266630124	45.0	150.0	150	27.27272727272727	22884632.0
SRR29317039_2	92.66175247559934	45.0	150.0	150	27.27272727272727	22884632.0
SRR29317041_1	94.1369990106377	45.0	150.0	150	18.181818181818183	25093968.0
SRR29317041_2	94.61716761178738	45.0	150.0	150	18.181818181818183	25093968.0
SRR30844226_1	95.95008407703881	46.0	101.0	101	18.181818181818183	151497680.0
SRR30844226_2	94.50499333925222	47.0	101.0	101	27.27272727272727	151497680.0
SRR30844227_1	92.33240595212779	45.0	101.0	101	18.181818181818183	110776496.0
SRR30844227_2	90.08474757876894	46.0	101.0	101	18.181818181818183	110776496.0
SRR33450572_1	95.50125997214171	47.0	150.0	150	27.27272727272727	48724512.0
SRR33450572_2	95.61038885722056	47.0	150.0	150	18.181818181818183	48724512.0
SRR6662598_1	93.98676798329176	46.0	126.0	126	20.0	26788528.0
